Year,Title,Role,Notes
1981,Best of Times,Nic,"Television pilot Credited as Nicolas Coppola"
1982,Fast Times at Ridgemont High,Brad's Bud,Credited as Nicolas Coppola[2]
1983,Valley Girl,Randy,
1983,Rumble Fish[2],Smokey,
1984,Racing with the Moon[2],Nicky/Bud,
1984,The Cotton Club[2],Vincent Dwyer,
1984,Birdy[2],Sergeant Al Columbato,
1986,The Boy in Blue,Ned Hanlan,
1986,Peggy Sue Got Married[2],Charlie Bodell,
1987,Raising Arizona[2],H. I. McDunnough,
1987,Moonstruck[2],Ronny Cammareri,
1988,Never on Tuesday,Man in Red Sports Car,Uncredited
1989,Vampire's Kiss,Peter Leow,
1989,Time to Kill,Enrico Silvestri,
1990,Fire Birds,Jake Preston,
1990,Industrial Symphony No. 1,Heartbreaker,
1990,Wild at Heart[2],Sailor Ripley,
1991,Zandalee,Johnny,
1992,Honeymoon in Vegas,Jack Singer,
1993,Amos & Andrew,Amos Odell,
1993,Deadfall,Eddie,
1994,Red Rock West,Michael Williams,
1994,Guarding Tess,Doug Chesnic,
1994,It Could Happen to You,Charlie Lang,
1994,Trapped in Paradise,Bill Firpo,
1995,Kiss of Death,Little Junior,
1995,Leaving Las Vegas[2],Ben Sanderson,Academy Award for Best Actor
1996,The Rock[2],Dr. Stanley Goodspeed,
1997,Con Air,Cameron Poe,
1997,Face/Off,Castor Troy / Sean Archer,
1998,City of Angels[2],Seth,
1998,Snake Eyes,Rick Santoro,
1999,8mm,Tom Welles,
1999,Bringing Out the Dead,Frank Pierce,
2000,Bel Air,,Producer
2000,Gone in Sixty Seconds,"Randall ""Memphis"" Raines",
2000,The Family Man,Jack Campbell,
2001,Shadow of the Vampire,,Producer
2001,Captain Corelli's Mandolin,Captain Antonio Corelli,
2001,Christmas Carol: The Movie,Jacob Marley,Voice
2002,Windtalkers,Sgt. Joe Enders,
2002,Adaptation,Charlie Kaufman / Donald Kaufman,
2002,Sonny,Acid Yellow,Also director and producer
2003,The Life of David Gale,,Producer
2003,Matchstick Men,Roy Waller,
2004,National Treasure,Benjamin Gates,
2005,Lord of War,Yuri Orlov,Also producer
2005,The Weather Man,David Spritz,
2006,The Ant Bully,Zoc,Voice
2006,The Wicker Man,Edward Malus,Also producer
2006,World Trade Center,John McLoughlin,
2007,Ghost Rider,Johnny Blaze/Ghost Rider,
2007,Grindhouse,Dr. Fu Manchu,"Uncredited Segment: ""Werewolf Women of the SS"""
2007,Next,Cris Johnson,Also producer
2007,National Treasure: Book of Secrets,Benjamin Gates,
2008,Bangkok Dangerous,Joe,Also producer
2009,Knowing,"Professor Jonathan ""John"" Koestler",
2009,G-Force,Speckles,Voice
2009,Astro Boy,Dr. Tenma,Voice
2009,The Bad Lieutenant: Port of Call New Orleans,Terrence McDonagh,
2010,Kick-Ass,Damon Macready/Big Daddy,
2010,With Great Power: The Stan Lee Story,Himself,Documentary
2010,The Sorcerer's Apprentice,Balthazar Blake,Also executive producer
2011,Season of the Witch,Behman von Bleiruck,
2011,Drive Angry,Milton,
2011,Trespass,Kyle,
2011,Seeking Justice,Will Gerard,
2012,A Thousand Words,,Producer
2012,Ghost Rider: Spirit of Vengeance,Johnny Blaze/Ghost Rider,
2012,Stolen,Will Montgomery,
2013,The Croods,Grug Crood,Voice
2013,The Frozen Ground[2],Detective Jack Halcombe,
2013,Joe,Joe,
2014,Rage[2],Paul Maguire,
2014,Outcast,Gallain,
2014,Left Behind[2],Rayford Steele,
2014,Dying of the Light,Evan Lake,
2015,The Runner,Colin Price,
2015,Pay the Ghost,Mike Cole,Post-production
2015,Snowden,,Post-production
2016,The Trust,Jim Stone,Post-production
2016,Army of One,,Post-production
2016,USS Indianapolis: Men of Courage,Captain McVay,Filming
